submission_date,state,tot_cases,tot_death
2022/01/08,RI,273697,3128
2022/01/08,AZ,1461633,24704
2022/01/08,IN,1329423,19614
2022/01/08,WY,119857,1572
2022/01/08,PA,2240549,37642
2022/01/08,VA,1247222,15666
2022/01/08,TX,5000819,75233
2022/01/08,NC,1860892,19699
2022/01/08,MD,830940,12211
2022/01/08,KS,566062,7096
2022/01/08,MI,1855658,29955
2022/01/08,AK,159436,948
2022/01/08,AL,979668,16680
2022/01/08,DE,202236,2365
2022/01/08,NM,369113,5983
2022/01/08,NE,360321,3468
2022/01/08,WI,1186066,11402
2022/01/08,MT,202863,2917
2022/01/08,HI,134753,1091
2022/01/08,WA,931071,10004
2022/01/08,MO,1096628,16341
2022/01/08,CA,5947810,76341
2022/01/08,NY,2185691,24120
2022/01/08,MS,586547,10527
2022/01/08,ID,327451,4237
2022/01/08,OH,2170139,30072
2022/01/08,KY,915881,12358
2022/01/08,SC,1065778,14755
2022/01/08,OR,459700,5761
2022/01/08,ND,181576,2029
2022/01/08,NJ,1815163,29444
2022/01/07,ND,180646,2028
2022/01/07,KY,915881,12358
2022/01/07,AL,970063,16675
2022/01/07,GA,1978788,31646
2022/01/07,PA,2206899,37522
2022/01/07,CT,573711,9377
2022/01/07,MN,1064065,10906
2022/01/07,OH,2151829,30072
2022/01/07,TX,4946867,75128
2022/01/07,DE,198507,2330
2022/01/07,OK,747150,11650
2022/01/07,SC,1048972,14750
2022/01/07,ID,327065,4235
2022/01/07,WV,351688,5421
2022/01/07,NE,360321,3468
2022/01/07,UT,682036,3896
2022/01/07,MS,586547,10527
2022/01/07,NM,369113,5983
2022/01/07,FL,4631941,63028
2022/01/07,VT,68036,459
2022/01/07,SD,189411,2522
2022/01/07,VA,1247222,15666
2022/01/07,NH,214572,2019
2022/01/07,ME,153334,1603
2022/01/07,NY,2143150,24034
2022/01/07,MA,1279928,20568
2022/01/07,WA,931071,10004
2022/01/07,IA,608000,8019
2022/01/07,CA,5947810,76341
2022/01/07,RI,268906,3125
2022/01/07,IL,2382437,31660
2022/01/07,WY,119857,1572
2022/01/07,AK,159436,948
2022/01/07,IN,1329423,19614
2022/01/07,NV,528892,8510
2022/01/07,HI,130605,1090
2022/01/07,AR,604843,9298
2022/01/07,MO,1080412,16330
2022/01/07,WI,1186066,11402
2022/01/07,LA,908428,15054
2022/01/07,TN,1515478,21064
2022/01/07,CO,989409,10425
2022/01/07,AZ,1445129,24616
2022/01/07,MI,1855658,29955
2022/01/07,OR,459700,5761
2022/01/07,NJ,1782463,29374
2022/01/07,KS,566062,7096
2022/01/07,MD,813688,12158
2022/01/07,MT,202863,2917
2022/01/07,NC,1832943,19692
2022/01/06,NM,364861,5969
2022/01/06,TX,4892604,75014
2022/01/06,AR,596409,9278
2022/01/06,IA,596296,8019
2022/01/06,OK,737593,11650
2022/01/06,AL,959262,16671
2022/01/06,IN,1314688,19448
2022/01/06,NE,355928,3456
2022/01/06,SC,1035482,14742
2022/01/06,WY,119093,1572
2022/01/06,OR,449267,5728
2022/01/06,NV,523627,8506
2022/01/06,LA,893626,15038
2022/01/06,SD,187467,2520
2022/01/06,ID,325730,4223
2022/01/06,DE,195600,2286
2022/01/06,MD,800743,12107
2022/01/06,RI,262487,3118
2022/01/06,WV,347554,5392
2022/01/06,KY,904916,12319
2022/01/06,AK,155871,947
2022/01/06,MO,1067433,16318
2022/01/06,VA,1221036,15651
2022/01/06,MS,579773,10511
2022/01/06,UT,672567,3876
2022/01/06,NY,2105334,23948
2022/01/06,AZ,1430241,24586
2022/01/06,TN,1495832,21035
2022/01/06,HI,127085,1087
2022/01/06,GA,1952755,31593
2022/01/06,MA,1250765,20510
2022/01/06,MT,201720,2916
2022/01/06,NJ,1744002,29315
2022/01/06,NC,1804326,19679
2022/01/06,ME,152173,1599
2022/01/06,CO,979437,10402
2022/01/06,NH,211952,2017
2022/01/06,CT,563635,9281
2022/01/06,IL,2339534,31536
2022/01/06,OH,2132266,29674
2022/01/06,MI,1829074,29808
2022/01/06,WI,1170504,11376
2022/01/06,MN,1056236,10873
